"","site.code","session","site.accession","tree.accession","id","crowngroup","subplot","rep","species","count","max","min","height.diff","value_dirichlet","vert.density"
"1","DAVO","1","DAVO001","DAVO01019",649,"2","1","DAVO001-1","BFF",39,20,12,8,6.2390667029915,0.781366866563959
"2","DAVO","1","DAVO001","DAVO03066",696,"2","3","DAVO001-3","BFF",11,15.1,13.1,2,23.102707168684,0.23806733816266
"3","DAVO","1","DAVO001","DAVO03076",706,"2","3","DAVO001-3","BFF",36,15,13.2,1.8,46.237595248209,0.432548446618765
"4","DAVO","2","DAVO002","DAVO01019",3171,"2","1","DAVO002-1","BFF",32,19,13,6,6.2390667029915,0.854828708719545
"5","DAVO","2","DAVO002","DAVO01021",3173,"2","1","DAVO002-1","BFF",5,15.9,14,1.9,4.98734787276,0.527650970918157
"6","DAVO","2","DAVO002","DAVO01043",3195,"2","1","DAVO002-1","BFF",3,22.2,18.7,3.5,51.287427625488,0.0167125335940399
"7","DAVO","4","DAVO004","DAVO01009",8205,"3","1","DAVO004-1","BFF",6,10.7,9.9,0.799999999999999,5.8232,1.28795164170903
"8","DAVO","4","DAVO004","DAVO01019",8215,"2","1","DAVO004-1","BFF",2,11.7,11.2,0.5,6.2390667029915,0.641121531539659
"9","DAVO","4","DAVO004","DAVO01041",8237,"1","1","DAVO004-1","BFF",6,15.5,14.8,0.699999999999999,199,0.0430725053840632
"10","DAVO","8","DAVO008","DAVO01009",18293,"3","1","DAVO008-1","BFF",10,13.4,11.8,1.6,5.8232,1.07329303475752
"11","DAVO","8","DAVO008","DAVO01019",18303,"2","1","DAVO008-1","BFF",20,17.1,12,5.1,6.2390667029915,0.628550521117312
"12","DAVO","8","DAVO008","DAVO01023",18307,"2","1","DAVO008-1","BFF",23,15.9,12.5,3.4,10.661799672637,0.634480677752203
"13","DAVO","9","DAVO009","DAVO01019",20825,"2","1","DAVO009-1","BFF",16,16.4,12.1,4.3,6.2390667029915,0.596392122362473
"14","DAVO","9","DAVO009","DAVO01023",20829,"2","1","DAVO009-1","BFF",12,16.1,13.1,3,10.661799672637,0.37517118336652
"15","DAVO","9","DAVO009","DAVO01041",20847,"1","1","DAVO009-1","BFF",22,21.6,16.7,4.9,199,0.0225617885345093
"16","DAVO","10","DAVO010","DAVO01019",23347,"2","1","DAVO010-1","BFF",18,15.9,12.3,3.6,6.2390667029915,0.801401914424574
"17","DAVO","10","DAVO010","DAVO01023",23351,"2","1","DAVO010-1","BFF",21,16.1,12.6,3.5,10.661799672637,0.56275677504978
"18","DAVO","10","DAVO010","DAVO01041",23369,"1","1","DAVO010-1","BFF",20,20.8,16.5,4.3,199,0.0233726773401893
"19","DAVO","11","DAVO011","DAVO01019",25869,"2","1","DAVO011-1","BFF",18,16.2,11.4,4.8,6.2390667029915,0.60105143581843
"20","DAVO","11","DAVO011","DAVO01023",25873,"2","1","DAVO011-1","BFF",15,16,14.3,1.7,10.661799672637,0.827583492720265
"21","DAVO","11","DAVO011","DAVO01031",25881,"2","1","DAVO011-1","BFF",3,8.4,7.5,0.9,7.126735199733,0.46772234970344
"22","DAVO","12","DAVO012","DAVO01019",28391,"2","1","DAVO012-1","BFF",4,16.7,15.9,0.799999999999999,6.2390667029915,0.801401914424575
"23","DAVO","12","DAVO012","DAVO01023",28395,"2","1","DAVO012-1","BFF",8,16.2,15.5,0.699999999999999,10.661799672637,1.07191766676149
"24","DAVO","12","DAVO012","DAVO01041",28413,"1","1","DAVO012-1","BFF",7,19.4,18.3,1.1,199,0.0319780721790773
"25","DAVO","13","DAVO013","DAVO01019",30913,"2","1","DAVO013-1","BFF",6,16.1,14.7,1.4,6.2390667029915,0.686915926649633
"26","DAVO","13","DAVO013","DAVO01023",30917,"2","1","DAVO013-1","BFF",13,16.1,12.8,3.3,10.661799672637,0.36948677149733
"27","DAVO","13","DAVO013","DAVO01041",30935,"1","1","DAVO013-1","BFF",11,19.8,17.4,2.4,199,0.0230318257956449
"28","DBUR","2","DBUR002","DBUR06202",4096,"2","6","DBUR002-6","BFF",6,19.4,13.4,6,23.812388344715,0.0419949475677833
"29","DBUR","2","DBUR002","DBUR06220",4113,"2","6","DBUR002-6","BFF",5,19.9,14.9,5,16.970184358482,0.0589268789823242
"30","DBUR","2","DBUR002","DBUR07243",4136,"2","7","DBUR002-7","BFF",4,15.1,12.3,2.8,18.861399964453,0.0757404769138969
"31","DBUR","2","DBUR002","DBUR08258",4151,"2","8","DBUR002-8","BFF",5,21.1,19.9,1.2,4.32036324,0.964425080763963
"32","DBUR","2","DBUR002","DBUR08267",4160,"2","8","DBUR002-8","BFF",3,14.7,14.5,0.199999999999999,25.143565495419,0.596574101741178
"33","DBUR","2","DBUR002","DBUR08284",4176,"2","8","DBUR002-8","BFF",2,9.4,8.4,1,31.929665485177,0.0626376747018687
"34","DBUR","2","DBUR002","DBUR09299",4191,"2","9","DBUR002-9","BFF",5,15.7,14.3,1.4,59.161122130868,0.0603678301356144
"35","DBUR","2","DBUR002","DBUR09304",4196,"2","9","DBUR002-9","BFF",2,12.7,9.5,3.2,13.5272332364375,0.0462030918722149
"36","DBUR","2","DBUR002","DBUR09307",4199,"2","9","DBUR002-9","BFF",11,18.1,15.3,2.8,17.1430621859555,0.229163925671921
"37","DBUR","2","DBUR002","DBUR09308",4200,"2","9","DBUR002-9","BFF",3,12.4,11.7,0.700000000000001,12.486362426948,0.343231610550153
"38","DBUR","3","DBUR003","DBUR06202",6618,"2","6","DBUR003-6","BFF",7,15.2,9.7,5.5,23.812388344715,0.0534481150862696
"39","DBUR","3","DBUR003","DBUR06220",6635,"2","6","DBUR003-6","BFF",6,10.5,7.1,3.4,16.970184358482,0.103988609968807
"40","DBUR","3","DBUR003","DBUR06223",6638,"2","6","DBUR003-6","BFF",2,14.2,13.2,1,15.25448976379,0.131108941103193
"41","DBUR","3","DBUR003","DBUR07242",6657,"2","7","DBUR003-7","BFF",11,15.3,12.9,2.4,14.765598472293,0.310406201410241
"42","DBUR","3","DBUR003","DBUR07243",6658,"2","7","DBUR003-7","BFF",12,13.4,12.3,1.1,18.861399964453,0.578381823706122
"43","DBUR","3","DBUR003","DBUR07245",6660,"2","7","DBUR003-7","BFF",8,16.6,14.9,1.7,18.190630278028,0.258698147398735
"44","DBUR","3","DBUR003","DBUR07251",6666,"2","7","DBUR003-7","BFF",3,16.1,14.2,1.9,24.835161930919,0.06357709173844
"45","DBUR","3","DBUR003","DBUR08258",6673,"2","8","DBUR003-8","BFF",7,15.4,12.1,3.3,4.32036324,0.4909800411162
"46","DBUR","3","DBUR003","DBUR08265",6680,"2","8","DBUR003-8","BFF",13,15.8,13.9,1.9,25.6429424824615,0.266822158488151
"47","DBUR","3","DBUR003","DBUR08267",6682,"2","8","DBUR003-8","BFF",11,14.1,12.9,1.2,25.143565495419,0.364573062175163
"48","DBUR","3","DBUR003","DBUR08284",6698,"2","8","DBUR003-8","BFF",6,14.3,11.8,2.5,31.929665485177,0.0751652096422424
"49","DBUR","3","DBUR003","DBUR09299",6713,"2","9","DBUR003-9","BFF",1,15.6,15.6,0,59.161122130868,NA
"50","DBUR","3","DBUR003","DBUR09304",6718,"2","9","DBUR003-9","BFF",2,15.8,15.3,0.5,13.5272332364375,0.295699787982175
"51","DBUR","3","DBUR003","DBUR09307",6721,"2","9","DBUR003-9","BFF",2,13.9,13.5,0.4,17.1430621859555,0.291663178127899
"52","DBUR","3","DBUR003","DBUR09308",6722,"2","9","DBUR003-9","BFF",4,18.1,16.8,1.3,12.486362426948,0.246422694753956
"53","DBUR","4","DBUR004","DBUR06202",9140,"2","6","DBUR004-6","BFF",17,15.5,9.5,6,23.812388344715,0.118985684775386
"54","DBUR","4","DBUR004","DBUR06206",9144,"2","6","DBUR004-6","BFF",24,16,10.2,5.8,7.9580062625,0.51997081907081
"55","DBUR","4","DBUR004","DBUR06220",9157,"2","6","DBUR004-6","BFF",8,9.8,8.3,1.5,16.970184358482,0.314276687905729
"56","DBUR","4","DBUR004","DBUR06223",9160,"2","6","DBUR004-6","BFF",6,14.8,11.9,2.9,15.25448976379,0.135629939072268
"57","DBUR","4","DBUR004","DBUR07242",9179,"2","7","DBUR004-7","BFF",9,15.7,11.3,4.4,14.765598472293,0.138528387406223
"58","DBUR","4","DBUR004","DBUR07243",9180,"2","7","DBUR004-7","BFF",18,13.1,11.7,1.4,18.861399964453,0.681664292225072
