"","site.code","session","site.accession","date","Red.date","year","month","day","person","roost.area","roost.perimeter","pop.estimate.BFF","index.abundance","pop.estimate.GHFF","pop.estimate.LRFF","pop.estimate.total","pop.method","exit.count","bats.remain","bats.remain.num","comments","total.trees"
"1","DAVO","1","DAVO001","2018-08-11",NA,2018,8,11,"Tamika Lunn",5314,488.33,5810,4,0,0,5810,"NFFMP",NA,NA,NA,"Only BFF present",266
"2","DBUR","1","DBUR001","2018-08-13",NA,2018,8,13,"Tamika Lunn",0,0,0,0,0,0,0,"direct",NA,NA,NA,NA,327
"3","DCAN","1","DCAN001","2018-08-15",NA,2018,8,15,"Tamika Lunn",0,0,0,0,0,0,0,"direct",NA,NA,NA,"It's possible that the trees noticed to be fallen in September were cut before this survey",474
"4","DCLU","1","DCLU001","2018-08-08",NA,2018,8,8,"Tamika Lunn",7971.18,580.79,500,2,200,0,700,"estimate",NA,NA,NA,"Highest density of bats along road outside of plots",349
"5","DLIS","1","DLIS001","2018-08-06",NA,2018,8,6,"Tamika Lunn",89321.6,1581.53,3896,7,90675,0,94571,"NFFMP",NA,NA,NA,NA,474
"6","DRED","1","DRED001","2018-08-14",NA,2018,8,14,"Tamika Lunn",12408.35,657.7,8000,4,500,0,5035,"council",NA,NA,NA,NA,285
"7","DSUN","1","DSUN001","2018-08-11",NA,2018,8,11,"Tamika Lunn",0,0,0,0,0,0,0,"direct",NA,NA,NA,NA,226
"8","DTOW","1","DTOW001","2018-08-16",NA,2018,8,16,"Tamika Lunn",3909.69,293.57,1742,2,283,0,2025,"direct",NA,NA,NA,NA,118
"9","DAVO","2","DAVO002","2018-09-20",NA,2018,9,20,"Tamika Lunn;  Devin Jones",5477.74,348.34,NA,2,NA,NA,NA,"estimate",NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar). LRFF not mentioned being present",268
"10","DBUR","2","DBUR002","2018-09-25",NA,2018,9,25,"Tamika Lunn; Remy Brooks",5012.37,350.04,350,1,0,0,300,"estimate",NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",327
"11","DCAN","2","DCAN002","2018-09-23",NA,2018,9,23,"Tamika Lunn; Remy Brooks",2040.08,228.69,NA,3,NA,0,NA,NA,NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",434
"12","DCLU","2","DCLU002","2018-09-19",NA,2018,9,19,"Remy Brooks",6972.05,320.89,NA,2,NA,0,NA,NA,NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",349
"13","DLIS","2","DLIS002","2018-09-26",NA,2018,9,26,"Tamika Lunn; Remy Brooks",86925.62,1539.28,NA,7,NA,NA,NA,"estimate",NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",474
"14","DRED","2","DRED002","2018-09-24",NA,2018,9,24,"Tamika Lunn; Remy Brooks",17991.42,606.69,NA,3,NA,NA,4950,"council",NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",285
"15","DSUN","2","DSUN002","2018-09-21",NA,2018,9,21,"Tamika Lunn; Devin Jones",5219.98,396.28,NA,3,NA,0,NA,NA,NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar)",226
"16","DTOW","2","DTOW002","2018-09-27",NA,2018,9,27,"Tamika Lunn; Remy Brooks",15150.28,564.52,NA,3,NA,NA,4000,"estimate",NA,NA,NA,"Exit video lost - saved on a USB that stopped working (Lexar). Bats still in core areas in similar numbers, but bats now in extra peripheral areas. Not quite double in size but close. Estimate around 4,000 bats",118
"17","DAVO","3","DAVO003","2018-10-25",NA,2018,10,25,"Remy Brooks",4715.26,403.79,NA,2,NA,NA,NA,"estimate",NA,"N",NA,"LRFF & BFF not mentioned being present",268
"18","DBUR","3","DBUR003","2018-10-27",NA,2018,10,27,"Remy Brooks",3311.95,269.93,300,1,0,0,300,"estimate",NA,"N",NA,"Very small roost - approx 15% less than other visits. GHFF & LRFF not mentioned being present",327
"19","DCAN","3","DCAN003","2018-10-23",NA,2018,10,23,"Remy Brooks",1941.19,209.17,NA,3,NA,0,NA,NA,NA,"N",NA,"21 rows of missing data (presumed fallen but not). BFF & LRFF not mentioned being present. BFF usually occupy single trees, so could have been there",414
"20","DCLU","3","DCLU003","2018-10-24",NA,2018,10,24,"Remy Brooks",6043.82,378.53,NA,2,NA,0,NA,"estimate",NA,"N",NA,"Camera died while fimling. File not saved. Times in QLD zone not NSW zone (i.e. consistent with others)",349
"21","DLIS","3","DLIS003","2018-10-20",NA,2018,10,20,"Remy Brooks",27892.41,1396.28,NA,6,NA,NA,NA,"estimate",NA,"Y","F","Started filming late",474
"22","DRED","3","DRED003","2018-10-22",NA,2018,10,22,"Remy Brooks",16796.66,675.04,NA,3,NA,NA,2807,"council",NA,"N",NA,"Approx 45% less than normal - heavy storms recently",285
"23","DSUN","3","DSUN003","2018-10-26",NA,2018,10,26,"Remy Brooks",2771.37,374.19,NA,2,NA,NA,NA,NA,NA,"N",NA,"LRFF in area behind plot 2 next to plot 10",226
"24","DTOW","3","DTOW003","2018-10-21",NA,2018,10,21,"Remy Brooks",13748.09,582.14,NA,2,NA,NA,1070,NA,"estimate",NA,NA,"Video file corrupted",118
"25","DAVO","4","DAVO004","2018-11-26",NA,2018,11,26,"Remy Brooks",6759.97,422.55,NA,3,NA,NA,NA,"estimate",NA,"Y","F","Abundance approx 2.5 x bigger than in October. LRFF not mentioned being present",268
