,site.code,session,site.accession,date,year,month,day,person,roost.area,roost.perimeter,pop.estimate.BFF,index.abundance,pop.estimate.GHFF,pop.estimate.LRFF,pop.estimate.total,pop.method
1,DAVO,1,DAVO001,11/08/2018,2018,8,11,Tamika Lunn,5314,488.33,5810,4,0,0,5810,NFFMP
2,DBUR,1,DBUR001,13/08/2018,2018,8,13,Tamika Lunn,0,0,0,0,0,0,0,direct
3,DCAN,1,DCAN001,15/08/2018,2018,8,15,Tamika Lunn,0,0,0,0,0,0,0,direct
4,DCLU,1,DCLU001,8/08/2018,2018,8,8,Tamika Lunn,7971.18,580.79,500,2,200,0,700,estimate
5,DLIS,1,DLIS001,6/08/2018,2018,8,6,Tamika Lunn,89321.6,1581.53,3896,7,90675,0,94571,NFFMP
6,DRED,1,DRED001,14/08/2018,2018,8,14,Tamika Lunn,12408.35,657.7,8000,4,500,0,5035,council
7,DSUN,1,DSUN001,11/08/2018,2018,8,11,Tamika Lunn,0,0,0,0,0,0,0,direct
8,DTOW,1,DTOW001,16/08/2018,2018,8,16,Tamika Lunn,3909.69,293.57,1742,2,283,0,2025,direct
9,DAVO,2,DAVO002,20/09/2018,2018,9,20,Tamika Lunn;  Devin Jones,5477.74,348.34,NA,2,NA,NA,NA,estimate
10,DBUR,2,DBUR002,25/09/2018,2018,9,25,Tamika Lunn; Remy Brooks,5012.37,350.04,350,1,0,0,300,estimate
11,DCAN,2,DCAN002,23/09/2018,2018,9,23,Tamika Lunn; Remy Brooks,2040.08,228.69,NA,3,NA,0,NA,NA
12,DCLU,2,DCLU002,19/09/2018,2018,9,19,Remy Brooks,6972.05,320.89,NA,2,NA,0,NA,NA
13,DLIS,2,DLIS002,26/09/2018,2018,9,26,Tamika Lunn; Remy Brooks,86925.62,1539.28,NA,7,NA,NA,NA,estimate
14,DRED,2,DRED002,24/09/2018,2018,9,24,Tamika Lunn; Remy Brooks,17991.42,606.69,NA,3,NA,NA,4950,council
15,DSUN,2,DSUN002,21/09/2018,2018,9,21,Tamika Lunn; Devin Jones,5219.98,396.28,NA,3,NA,0,NA,NA
16,DTOW,2,DTOW002,27/09/2018,2018,9,27,Tamika Lunn; Remy Brooks,15150.28,564.52,NA,3,NA,NA,4000,estimate
17,DAVO,3,DAVO003,25/10/2018,2018,10,25,Remy Brooks,4715.26,403.79,NA,2,NA,NA,NA,estimate
18,DBUR,3,DBUR003,27/10/2018,2018,10,27,Remy Brooks,3311.95,269.93,300,1,0,0,300,estimate
19,DCAN,3,DCAN003,23/10/2018,2018,10,23,Remy Brooks,1941.19,209.17,NA,3,NA,0,NA,NA
20,DCLU,3,DCLU003,24/10/2018,2018,10,24,Remy Brooks,6043.82,378.53,NA,2,NA,0,NA,estimate
21,DLIS,3,DLIS003,20/10/2018,2018,10,20,Remy Brooks,27892.41,1396.28,NA,6,NA,NA,NA,estimate
