site.code,session,site.accession,roost.centroid.E,roost.centroid.N
DAVO,001,DAVO001,503707.2016,6943521.118
DAVO,002,DAVO002,503727.2258,6943482.947
DAVO,003,DAVO003,503718.3135,6943488.759
DAVO,004,DAVO004,503720.8215,6943486.467
DAVO,005,DAVO005,503719.6307,6943487.358
DAVO,006,DAVO006,503727.3494,6943483.876
DAVO,007,DAVO007,503735.1254,6943494.015
DAVO,008,DAVO008,503725.0769,6943489.13
DAVO,009,DAVO009,503726.0022,6943483.341
DAVO,010,DAVO010,503724.7306,6943484.855
DAVO,011,DAVO011,503726.7401,6943485.279
DAVO,012,DAVO012,503757.3626,6943461.832
DAVO,013,DAVO013,503730.9067,6943482.152
DBUR,001,DBUR001,NA,NA
DBUR,002,DBUR002,543121.957,6893724.09
DBUR,003,DBUR003,543118,6893725
DBUR,004,DBUR004,543113.6789,6893725.64
DBUR,005,DBUR005,543140.7467,6893740.135
DBUR,006,DBUR006,543131.6299,6893732.972
DBUR,007,DBUR007,543122.7208,6893730.193
DBUR,008,DBUR008,NA,NA
DBUR,009,DBUR009,NA,NA
DBUR,010,DBUR010,543126.1331,6893736.057
DBUR,011,DBUR011,543219.1217,6893726.134
DBUR,012,DBUR012,543192.712,6893737.19
DBUR,013,DBUR013,543128.2236,6893740.723
DCAN,001,DCAN001,NA,NA
DCAN,002,DCAN002,517933.0746,6898345.89
DCAN,003,DCAN003,517944.458,6898324.842
DCAN,004,DCAN004,517932.6955,6898326.764
DCAN,005,DCAN005,517928.5101,6898339.098
DCAN,006,DCAN006,517925.8441,6898354.204
DCAN,007,DCAN007,517932.9425,6898349.073
DCAN,008,DCAN008,517938.6347,6898336.787
DCAN,009,DCAN009,517933.4048,6898347.479
DCAN,010,DCAN010,NA,NA
DCAN,011,DCAN011,NA,NA
DCAN,012,DCAN012,NA,NA
DCAN,013,DCAN013,NA,NA
DCLU,001,DCLU001,540731.2268,6821384.697
DCLU,002,DCLU002,540761.559,6821390.425
DCLU,003,DCLU003,540761.9456,6821384.512
DCLU,004,DCLU004,540766.9371,6821374.129
DCLU,005,DCLU005,540759.9446,6821380.422
DCLU,006,DCLU006,540755.6978,6821388.16
DCLU,007,DCLU007,540766.8931,6821392.044
DCLU,008,DCLU008,540748.8141,6821387.793
DCLU,009,DCLU009,540750.88,6821387.963
DCLU,010,DCLU010,540759.1113,6821382.77
DCLU,011,DCLU011,540750.2435,6821384.014
DCLU,012,DCLU012,540747.4223,6821384.955
DCLU,013,DCLU013,540749.9666,6821389.835
DLIS,001,DLIS001,529024.0893,6812985.732
DLIS,002,DLIS002,529040.9127,6812970.278
DLIS,003,DLIS003,528982.7618,6813032.947
DLIS,004,DLIS004,528880,6813077
DLIS,005,DLIS005,528869.0345,6813061.9
DLIS,006,DLIS006,528891.9289,6813072.118
DLIS,007,DLIS007,528892.5815,6813067.778
DLIS,008,DLIS008,528881.4987,6813067.588
DLIS,009,DLIS009,528883.7298,6813072.087
DLIS,010,DLIS010,528987.9416,6813084.185
DLIS,011,DLIS011,529102.9536,6813035.481
DLIS,012,DLIS012,529128.9365,6813022.888
DLIS,013,DLIS013,529114.3607,6813031.009
DRED,001,DRED001,509822.9123,6987925.071
DRED,002,DRED002,509811.9529,6987934.544
DRED,003,DRED003,509798.0563,6987924.169
DRED,004,DRED004,509808.9298,6987927.744
DRED,005,DRED005,509804.3323,6987929.844
DRED,006,DRED006,509799.864,6987930.088
DRED,007,DRED007,509806.8916,6987944.674
DRED,008,DRED008,509797.8644,6987931.162
DRED,009,DRED009,509829.6265,6987921.871
DRED,010,DRED010,509822.0292,6987930.816
DRED,011,DRED011,509827.6947,6987927.251
DRED,012,DRED012,509813.3956,6987927.228
DRED,013,DRED013,509812.517,6987937.87
DTOW,001,DTOW001,395783.7844,6946550.475
DTOW,002,DTOW002,395733.954,6946538.426
DTOW,003,DTOW003,395737.6624,6946543.389
DTOW,004,DTOW004,395733.2662,6946541.037
DTOW,005,DTOW005,395725.9972,6946536.847
DTOW,006,DTOW006,395736.3912,6946540.082
DTOW,007,DTOW007,395734.2437,6946541.98
DTOW,008,DTOW008,395738.8673,6946546.866
DTOW,009,DTOW009,395733.2725,6946541.288
DTOW,010,DTOW010,395765.0964,6946544.107
DTOW,011,DTOW011,395739.907,6946548.213
DTOW,012,DTOW012,395753.8652,6946554.937
DTOW,013,DTOW013,395797.8273,6946565.237
DSUN,001,DSUN001,NA,NA
DSUN,002,DSUN002,505188.5534,6949028.496
DSUN,003,DSUN003,505179.8094,6949057.656
DSUN,004,DSUN004,505194.8573,6949048.216
DSUN,005,DSUN005,505181.9774,6949025.982
DSUN,006,DSUN006,505186.5581,6949035.972
DSUN,007,DSUN007,505181.6487,6949031.178
DSUN,008,DSUN008,505183.7719,6949031.159
DSUN,009,DSUN009,505189.2784,6949023.751
DSUN,010,DSUN010,505191.7109,6949019.564
DSUN,011,DSUN011,505204.0813,6949014.74
DSUN,012,DSUN012,505207.3482,6949025.289
DSUN,013,DSUN013,505196.8078,6949025.773
