"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"1","DAVO001",1,0,0,0,11.3115603787618,0.100089361391119,1.48314190579603,0,0,0,11.3115603787618,0.100089361391119,1.48314190579603,0,1.03577513767901,0,1.03577513767901,0,0.428,0,0.428,0,1.8342,0,1.8342,0,1.70057354418989,0,1.70057354418989
"2","DAVO001",2,0,0,0,22.5175128593732,0.100090056892541,3.6588163659138,0,0,0,22.5175128593732,0.100090056892541,3.6588163659138,0,1.63531858179161,0,1.63531858179161,0,0.4204,0,0.4204,0,5.4257,0,5.4257,0,4.47651090684504,0,4.47651090684504
"3","DAVO001",3,0,0,0,4.19634088646291,0.100029621175348,0.787378885032172,0,0,0,4.19634088646291,0.100029621175348,0.787378885032172,0,0.404398722315246,0,0.404398722315246,0,0.1853,0,0.1853,0,1.0587,0,1.0587,0,0.8835934559831,0,0.8835934559831
"4","DAVO001",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","DAVO001",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","DAVO001",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","DAVO001",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","DAVO001",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","DAVO001",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","DAVO001",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","DAVO002",1,15.5116157897194,0.100043735533042,2.5987067924757,3.56327696606036,0.100054694546715,0.556386183099751,0,0,0,16.8523839180479,0.100110356678532,2.83203692066836,2.09354132215877,0.309748296900053,0,2.24296745268468,0.9097,0.1744,0,0.9858,3.3408,0.6311,0,3.6742,2.35449784027114,0.647237848942652,0,2.67779300870216
"12","DAVO002",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","DAVO002",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","DAVO002",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","DAVO002",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","DAVO002",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","DAVO002",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","DAVO002",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","DAVO002",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","DAVO002",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","DAVO003",1,5.41743374916269,0.10024107159211,1.52407019321698,0,0,0,0,0,0,5.41743374916269,0.10024107159211,1.52407019321698,1.23983179530895,0,0,1.23983179530895,0.6157,0,0,0.6157,2.2408,0,0,2.2408,1.15701099454917,0,0,1.15701099454917
"22","DAVO003",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","DAVO003",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","DAVO003",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","DAVO003",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","DAVO003",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","DAVO003",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
