"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"1","DAVO001",1,0,0,0,11.3115603787618,4.47620364938469e-07,1.10187532159327,0,0,0,11.3115603787618,4.47620364938469e-07,1.10187532159327,0,0.565736747834768,0,0.565736747834768,0,0.0872,0,0.0872,0,1.4789,0,1.4789,0,1.5964581315341,0,1.5964581315341
"2","DAVO001",2,0,0,0,22.5175128593732,-2.57573669165524e-15,0.301887910019084,0,0,0,22.5175128593732,-2.57573669165524e-15,0.301887910019084,0,2.51561106754844e-16,0,2.51561106754844e-16,0,0,0,0,0,0,0,0,0,1.62908915752564,0,1.62908915752564
"3","DAVO001",3,0,0,0,4.19634088646291,5.13793645727304e-07,0.284600259156791,0,0,0,4.19634088646291,5.13793645727304e-07,0.284600259156791,0,0.0319811989073775,0,0.0319811989073775,0,0.0032,0,0.0032,0,0.1953,0,0.1953,0,0.634595165564304,0,0.634595165564304
"4","DAVO001",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","DAVO001",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","DAVO001",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","DAVO001",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","DAVO001",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","DAVO001",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","DAVO001",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
